"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Try to login with new register user (user with credentials demo:demo exist by default)","2571","Login with exist user @UI @LOGIN @POSITIVE","ui","Tue Dec 10 20:23:00 GMT 2024","passed","Tue Dec 10 20:23:03 GMT 2024","","ui/ui.spec.js","",""
"Create new task  and delete it by api","370","Delete task @API @TASK","api","Tue Dec 10 20:22:41 GMT 2024","passed","Tue Dec 10 20:22:42 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with wrong credentials","6774","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 20:23:10 GMT 2024","failed","Tue Dec 10 20:23:17 GMT 2024","","ui/ui.spec.js","",""
"Try to create new task in default project","2936","Create new project @UI @PROJECT @POSITIVE","ui","Tue Dec 10 20:22:43 GMT 2024","passed","Tue Dec 10 20:22:46 GMT 2024","","ui/project.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","7032","Create new tasks and change status @UI @TASK @POSITIVE","ui","Tue Dec 10 20:22:53 GMT 2024","passed","Tue Dec 10 20:23:00 GMT 2024","","ui/todo.spec.js","",""
"Get all exist tasks by api","378","Test get all tasks @API @TASK","api","Tue Dec 10 20:22:42 GMT 2024","passed","Tue Dec 10 20:22:42 GMT 2024","","api/tasks.api.spec.js","",""
"Try to create new task in default project","4756","Create new task @UI @TASK @POSITIVE","ui","Tue Dec 10 20:22:48 GMT 2024","passed","Tue Dec 10 20:22:53 GMT 2024","","ui/todo.spec.js","",""
"Create new project by api","1166","Test create new project @API @PROJECT","api","Tue Dec 10 20:22:38 GMT 2024","passed","Tue Dec 10 20:22:39 GMT 2024","","api/project.api.spec.js","",""
"Check API token for user","610","Test get auth key @API @LOGIN","api","Tue Dec 10 20:22:40 GMT 2024","passed","Tue Dec 10 20:22:41 GMT 2024","","api/register.api.spec.js","",""
"Create new task and set it done by api","370","Test set new task to done @API @TASK","api","Tue Dec 10 20:22:41 GMT 2024","passed","Tue Dec 10 20:22:41 GMT 2024","","api/tasks.api.spec.js","",""
"Create new task by api","245","Test create new task @API @TASK","api","Tue Dec 10 20:22:41 GMT 2024","passed","Tue Dec 10 20:22:41 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist project by api","416","Test get all projects @API @PROJECT","api","Tue Dec 10 20:22:39 GMT 2024","passed","Tue Dec 10 20:22:40 GMT 2024","","api/project.api.spec.js","",""
"Registry new user  by api","341","Test registry new user @API @LOGIN","api","Tue Dec 10 20:22:40 GMT 2024","passed","Tue Dec 10 20:22:40 GMT 2024","","api/register.api.spec.js","",""
"","3530","Create new user","setup","Tue Dec 10 20:22:34 GMT 2024","passed","Tue Dec 10 20:22:37 GMT 2024","","login.setup.js","",""
"Try to login with wrong credentials","6671","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 20:23:03 GMT 2024","failed","Tue Dec 10 20:23:09 GMT 2024","","ui/ui.spec.js","",""
"Register new user","2525","Register new user @UI @REGISTER @POSITIVE","ui","Tue Dec 10 20:22:46 GMT 2024","passed","Tue Dec 10 20:22:48 GMT 2024","","ui/register.spec.js","",""
